Θユら戳,坝珇腹,戳る(秅),Θユ丁,Θユ基,Θユ计秖(B+S),る基,环る基,秨絃栋膙基 
20190920,MTX    ,201910     ,150000,10907,2,-,-, 
20190920,MTX    ,201910     ,150000,10907,2,-,-, 
20190920,MTX    ,201910     ,150000,10907,2,-,-, 
20190920,MTX    ,201910     ,150000,10907,2,-,-, 
20190920,MTX    ,201910     ,150000,10907,2,-,-, 
20190920,MTX    ,201910     ,150000,10907,2,-,-, 
20190920,MTX    ,201910     ,150000,10905,2,-,-, 
20190920,MTX    ,201910     ,150000,10906,2,-,-, 
20190920,MTX    ,201910     ,150001,10907,6,-,-, 
20190920,MTX    ,201910     ,150001,10907,2,-,-, 
20190920,MTX    ,201910     ,150001,10906,4,-,-, 
20190920,MTX    ,201910     ,150001,10907,4,-,-, 
20190920,MTX    ,201910     ,150001,10907,4,-,-, 
20190920,MTX    ,201910     ,150001,10907,4,-,-, 
20190920,MTX    ,201910     ,150001,10907,4,-,-, 
20190920,MTX    ,201910     ,150001,10907,2,-,-, 
20190920,MTX    ,201910     ,150001,10906,2,-,-, 
20190920,MTX    ,201910     ,150002,10906,4,-,-, 
20190920,MTX    ,201910     ,150002,10907,2,-,-, 
20190920,MTX    ,201910     ,150002,10906,4,-,-, 
20190920,MTX    ,201910     ,150002,10907,4,-,-, 
20190920,MTX    ,201910     ,150002,10907,2,-,-, 
20190920,MTX    ,201910     ,150003,10906,2,-,-, 
20190920,MTX    ,201910     ,150003,10906,2,-,-, 
20190920,MTX    ,201910     ,150003,10906,2,-,-, 
20190920,MTX    ,201910     ,150004,10907,2,-,-, 
20190920,MTX    ,201910     ,150004,10907,2,-,-, 
20190920,MTX    ,201910     ,150004,10907,6,-,-, 
20190920,MTX    ,201910     ,150004,10907,16,-,-, 
20190920,MTX    ,201910     ,150004,10907,4,-,-, 
20190920,MTX    ,201910     ,150004,10908,2,-,-, 
20190920,MTX    ,201910     ,150004,10908,6,-,-, 
20190920,MTX    ,201910     ,150004,10908,2,-,-, 
20190920,MTX    ,201910     ,150004,10908,2,-,-, 
20190920,MTX    ,201910     ,150004,10908,2,-,-, 
20190920,MTX    ,201910     ,150006,10908,4,-,-, 
20190920,MTX    ,201910     ,150007,10907,2,-,-, 
20190920,MTX    ,201910     ,150008,10908,2,-,-, 
20190920,MTX    ,201910     ,150009,10907,2,-,-, 
20190920,MTX    ,201910     ,150009,10908,4,-,-, 
20190920,MTX    ,201910     ,150009,10908,2,-,-, 
20190920,MTX    ,201910     ,150010,10908,2,-,-, 
20190920,MTX    ,201910     ,150010,10909,2,-,-, 
20190920,MTX    ,201910     ,150010,10908,2,-,-, 
20190920,MTX    ,201910     ,150011,10908,2,-,-, 
20190920,MTX    ,201910     ,150013,10908,2,-,-, 
20190920,MTX    ,201910     ,150014,10908,10,-,-, 
